name,lat,lon,population
Norderstedt,53.6993066,10.0008798,82719
Hamburg,53.548828199999996,9.987170299999999,1910160
Tangstedt,53.733648099999996,10.0856692,6519
Ammersbek,53.70643,10.2209,10035
Hasloh,53.691539999999996,9.91816,3951
Quickborn,53.728935299999996,9.9078766,22339
Henstedt-Ulzburg,53.7905005,9.9804997,28375
Bönningstedt,53.6639774,9.905541,4570
Kayhude,53.7577225,10.1349751,1226
Ahrensburg,53.6764136,10.237885400000001,34601
Wakendorf II,53.782778199999996,10.082414199999999,1405
Jersbek,53.743146499999995,10.2178471,1788
Bargfeld-Stegen,53.766543000000006,10.1890579,3068
Ellerbek,53.6444255,9.8983584,4249
Ellerau,53.753403899999995,9.9166869,6276
Kattendorf,53.8424025,10.0240645,816
Struvenhütten,53.8659484,10.0542441,959
Hüttblek,53.8405743,10.0716475,416
Winsen,53.8302382,10.0163014,36499
Kisdorf,53.8073378,10.0070938,4016
Oersdorf,53.840191999999995,9.9930191,903
Schmalfeld,53.8771601,9.9834272,2051
Sievershütten,53.8445732,10.113861199999999,1100
Hartenholm,53.9005753,10.060086,1974
Stuvenborn,53.8522489,10.1262182,905
Todesfelde,53.8931249,10.1762324,1144
Hasenmoor,53.900230099999995,9.9903439,759
Kaltenkirchen,53.830613199999995,9.958594999999999,23478
Oering,53.825289999999995,10.14809,1443
Sülfeld,53.800420800000005,10.229372399999999,3316
Grabau,53.802879999999995,10.27773,797
Nienwohld,53.786405300000006,10.1946885,504
Elmenhorst,53.7652794,10.263541799999999,722
Travenbrück,53.838241399999994,10.298815699999999,1817
Neritz,53.7857847,10.2844523,358
Groß Niendorf,53.8454711,10.2444949,638
Itzstedt,53.8073218,10.1574943,2523
Bad Oldesloe,53.807626899999995,10.3822557,25104
Rümpel,53.782869899999994,10.3517162,1301
Todendorf,53.69466740000001,10.3486912,1261
Hoisdorf,53.66124250000001,10.310351299999999,3560
Großhansdorf,53.651326,10.273001599999999,9436
Hammoor,53.7136128,10.3223067,1286
Delingsdorf,53.7055733,10.2520522,2210
Steinburg,53.7068547,10.385199100000001,131347
Lütjensee,53.6459924,10.3615701,3360
Bargteheide,53.7287773,10.2656004,16320
Tremsbüttel,53.742897899999996,10.310337599999999,1920
Siek,53.635373099999995,10.2937579,2524
Lasbek,53.73357120000001,10.361260999999999,1343
Barsbüttel,53.571548799999995,10.1759457,13148
Reinbek,53.517642099999996,10.246975599999999,28579
Glinde,53.540081099999995,10.2113646,18656
Brunsbek,53.593882799999996,10.2808114,1765
Stapelfeld,53.6050293,10.217828899999999,1880
Braak,53.6097988,10.244845999999999,938
Oststeinbek,53.5422138,10.1699453,8990
Rausdorf,53.589707399999995,10.3295444,231
Witzhave,53.570197400000005,10.33703,1575
Forstgutsbezirk Sachsenwald,53.536646999999995,10.372812699999999,50
Wohltorf,53.5198022,10.2791197,2577
Großensee,53.6132399,10.3412858,191
Seevetal,53.3807019,10.0300811,42880
Stelle,53.3842619,10.1023503,11596
Rosengarten,53.4409297,9.917670399999999,5288
Wentorf bei Hamburg,53.491123599999995,10.251974899999999,13493
Börnsen,53.4694717,10.2777607,4678
Schenefeld,53.602162199999995,9.837432999999999,19817
Halstenbek,53.6334656,9.8373283,18042
Jork,53.532193199999995,9.6838518,12395
Pinneberg,53.663355599999996,9.7925675,44756
Rellingen,53.6531476,9.8294636,14840
Wedel,53.582381299999994,9.7137465,34617
Appen,53.6596465,9.7424552,4835
Holm,53.6208877,9.6764394,95
Neu Wulmstorf,53.464137099999995,9.7911544,23552
Prisdorf,53.677952999999995,9.763663,2312
Kummerfeld,53.691643899999995,9.7909166,2437
Tornesch,53.6973396,9.7123761,14606
Borstel-Hohenraden,53.688880999999995,9.8111839,2452
Ellerhoop,53.728020799999996,9.7715099,1550
Uetersen,53.6872441,9.6763338,18776
Seeth-Ekholt,53.7320638,9.7309827,993
Heidgraben,53.7097066,9.6780697,2787
Langeln,53.795321599999994,9.8555118,1116
Heede,53.784520799999996,9.8056138,823
Hemdingen,53.7629726,9.8372861,1724
Barmstedt,53.7905563,9.769214900000001,10683
Alveslohe,53.7897799,9.9147496,2868
Heidmoor,53.867583499999995,9.816940599999999,289
Lutzhorn,53.825610399999995,9.7758145,798
Bilsen,53.771440000000005,9.877482400000002,817
Nützen,53.8636493,9.923741699999999,1288
Lentföhrden,53.87259900000001,9.883659399999999,2669
